--- scanner 0 ---
-535,-526,-765
627,-311,420
-587,-471,242
581,-596,-710
-602,794,452
-716,825,-607
487,760,-636
-620,-456,271
-37,-16,-1
-647,-543,-606
608,-713,-821
-657,903,537
-667,-557,-727
670,-310,354
-672,-675,243
536,888,514
549,-605,-861
644,831,538
599,-378,391
-641,962,-643
133,68,-113
516,800,-553
582,762,538
-710,842,-633
568,907,-594
-549,867,508

--- scanner 1 ---
456,-531,375
-576,842,-474
610,385,-866
-834,-556,-713
-643,671,-468
-762,-584,448
682,-362,-794
-514,568,445
646,585,578
-886,-519,461
459,-646,390
-719,819,-521
517,-589,317
499,-382,-859
-760,-651,-763
-103,-42,-119
660,530,565
461,449,-781
-524,564,727
446,497,576
-800,-587,481
456,358,-860
-18,68,-9
609,-398,-871
-796,-580,-574
-490,612,654

--- scanner 2 ---
472,403,682
241,-583,724
-675,357,-564
-669,378,521
-613,451,574
-608,-750,432
676,-520,-952
-699,483,-610
-422,-411,-781
482,283,613
-412,-354,-725
619,-461,-890
-602,-745,585
392,445,-544
803,-486,-963
-698,342,629
-124,40,-32
446,420,688
322,-564,719
-436,-449,-565
433,338,-596
-699,414,-672
300,-486,706
-621,-681,516
475,485,-515
-14,-81,-129

--- scanner 3 ---
-657,-678,460
509,-860,-656
-401,-632,-610
-549,-710,546
767,-464,771
379,775,-813
387,525,-780
730,-541,714
468,458,866
418,-783,-546
-620,-759,379
475,395,803
-25,-35,83
-295,834,-674
-432,724,517
-463,-611,-487
-435,766,-751
449,558,765
-549,-554,-589
-417,648,492
377,-823,-696
507,642,-807
-313,727,-816
787,-458,664
-313,582,508

--- scanner 4 ---
-975,452,-498
317,632,-820
-738,-476,296
-939,-527,-429
458,519,739
774,-515,-893
817,-715,-874
476,-731,558
-690,-442,369
-772,708,458
-960,-659,-463
529,-804,502
-934,341,-453
-805,494,447
491,534,768
406,738,767
-859,-576,-415
-799,399,-512
649,-645,-891
-93,-61,-123
-717,694,445
421,-840,473
442,716,-804
247,701,-785
-734,-466,578

--- scanner 5 ---
127,-40,150
-499,-631,677
40,38,-15
760,726,921
-502,593,-452
-386,-724,-812
-270,-650,-808
-522,-542,641
543,730,-676
-563,557,445
-407,666,-490
821,704,899
720,-655,821
-453,747,-389
428,-372,-780
-577,-635,515
827,-770,759
-723,466,458
926,674,906
594,666,-556
497,-402,-766
-320,-660,-679
551,721,-473
849,-608,823
597,-415,-726
-629,444,411

--- scanner 6 ---
-448,-863,770
