262130794315133, 305267994111063, 163273807102793 @ 57, -252, 150
290550702673836, 186986670515285, 231769402282435 @ -74, 19, -219
275698513286341, 162656001312879, 183065006152383 @ -59, -24, -225
300978671520025, 310644717172257, 264594178261059 @ -12, -15, 13
255863566365481, 175389174276099, 191768173516493 @ 111, 36, -70
448611932895831, 416105494312867, 530277693479337 @ -278, -232, -476
321245794812141, 351009956410617, 308560443071587 @ -14, 39, 33
260635600256893, 260747163777350, 216665142277310 @ 73, -322, -130
255145296218621, 187412180345097, 228199618141667 @ 69, 145, 13
230194982752265, 194323808433321, 261417581945831 @ 152, 91, -142
292048304292386, 197291170834422, 202943740926287 @ -72, -10, -55
311130681683078, 306087457111806, 249396912802046 @ -6, 76, 88
358639652963990, 394739736663027, 359795847374705 @ -270, -615, -525
297229229558482, 522171337518307, 426770062212680 @ -30, -655, -466
294834208751831, 321617515744254, 386879228152130 @ 11, 56, -64
266515787823596, 378913088003187, 283788686103107 @ 42, -27, 37
253564419687295, 253989458064767, 121056322127979 @ 150, -650, 409
314979912243887, 395540618713041, 248874251248658 @ -17, -57, 74
311505400730033, 259696521745221, 198440344941707 @ -90, -102, 47
415151793286817, 244561703933778, 365788651924237 @ -115, 144, -33
360707651284924, 529063939149571, 260034369166300 @ -108, -367, 18
293112415768602, 215942318820166, 195865614624459 @ -32, 38, 61
276985563220526, 415192274624267, 310163091739654 @ 26, -175, -56
337855258250936, 317163569817867, 330559462936061 @ -74, -35, -101
234788458620675, 370907912387149, 262262841563777 @ 88, -79, 32
259483935349211, 442042685387769, 337046080143827 @ 51, -129, -43
234477844664477, 141803820106285, 408255494535747 @ 137, 248, -563
286953422958549, 349980214383283, 253535024212593 @ 13, -46, 46
288459711073005, 76121970967305, 114880375890659 @ 18, 324, 233
373928783591119, 397930231995023, 268319757027179 @ -182, -286, -55
346657310924317, 314049384684153, 397819026112163 @ -38, 81, -52
323308101707874, 224678126324224, 174511679867046 @ -62, 98, 148
263017161177728, 197905391546181, 253039195405385 @ 52, 107, -69
331699490975885, 425647191528329, 310132560849731 @ -28, -52, 23
329144010696083, 154543668426651, 284138920129493 @ -110, 218, -136
